Index,Fuel Type Code,Street Address,State,Latitude,Longitude
11988,ELEC,7001 E Belleview Ave,CO,39.624384,-104.904374
11989,ELEC,435 Virginia Ave,IN,39.760372,-86.148106
11990,ELEC,3936 Pennsylvania Ave @ Westport Manor Apartm,MO,39.05554,-94.593508
11991,E85,4 Mall Rd,WV,38.416487,-82.261001
11992,E85,2001 Golf Rd,WI,43.047962,-88.25837
11993,ELEC,Apres Vous Rd,WY,43.587601,-110.821627
11994,ELEC,1500 University Blvd,AL,33.502222,-86.806309
11995,ELEC,933 19th St S,AL,33.502094,-86.798603
11996,ELEC,301 W 22nd St @ DA Moore Parking Garage,MO,39.086558,-94.58748
11997,BD,1120 SW 1st Ave,OR,45.256616,-122.704991
11998,BD,33385 Highway 34 SE,OR,44.556119,-123.064557
11999,BD,5020 Tablerock Rd,OR,42.389601,-122.884939
12000,BD,21687 Highway 99 E,OR,45.2323726,-122.7548321
12001,ELEC,98-1247 Kaahumanu St,HI,21.38849,-157.95323
12002,ELEC,96-045 Ala Ike Street,HI,21.478705,-158.017697
12003,ELEC,874 Dillingham Blvd,HI,21.3204,-157.86968
12004,ELEC,4303 Diamond Head Road,HI,21.27042,-157.80127
12005,ELEC,3465 Waialae Ave,HI,21.28377,-157.80162
12006,ELEC,3308 Kanaina Ave,HI,21.27596,-157.81454
12007,ELEC,327 Keawe St,HI,21.298706,-157.861588
12008,ELEC,2155 Kalakaua Ave,HI,21.28039,-157.83044
12009,ELEC,1401 S Beretania St,HI,21.29964,-157.8394
12010,ELEC,1159 Nuuanu Ave,HI,21.3114,-157.86103
12011,ELEC,1044 Auahi St,HI,21.294482,-157.852943
12012,ELEC,525 Alakawa St,HI,21.318929,-157.87059
12013,ELEC,4589 Kapolei Pkwy,HI,21.327256,-158.087757
12014,ELEC,245 Shaw St,HI,20.86967,-156.670812
12015,ELEC,94-1231 Ka Uka Blvd,HI,21.42645,-158.00009
12016,CNG,50 N Myrtle Ave,FL,30.329657,-81.676572
12017,ELEC,316 10th St S,AL,33.502225,-86.816211
12018,ELEC,4569 Las Positas Rd,CA,37.69435,-121.74205
12019,E85,1111 N 67th Ave,AZ,33.460361,-112.201313
12020,E85,2300 N Zaragoza Rd,TX,31.775721,-106.251993
12021,E85,1303 Callaghan Rd,TX,29.449182,-98.603032
12022,E85,2182 E Florence Blvd,AZ,32.880148,-111.6935
12023,E85,23543 Highway 242,TX,30.193322,-95.191775
12024,E85,6400 W Highway 84,TX,31.51138776,-97.18973414
12025,ELEC,2295 N King St,HI,20.887,-156.48835
12026,E85,502 N Cleveland St,TX,30.046681,-94.892176
12027,E85,25930 W Highway 84,TX,31.482405,-97.287471
12028,E85,6529 Dallas Pkwy,TX,33.131563,-96.826093
12029,ELEC,108 Silicato Parkway,DE,38.927247,-75.417979
12030,ELEC,4623 N Village Dr @ Speedys Convenience Store,MO,39.81123,-94.805986
12031,ELEC,1127 North Ave,VT,44.506328,-73.246245
12032,ELEC,2701 N Sepulveda Blvd,CA,34.124839,-118.479053
12033,ELEC,11000 Brownsboro Rd,KY,38.329125,-85.562493
12034,ELEC,3801 Erdman Ave,MD,39.315122,-76.569243
12035,ELEC,5716 S Van Dorn St,VA,38.794947,-77.137384
12036,LPG,962 E Elm St,NC,36.082052,-79.379122
